,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,Rikitea,-23.12,-134.97,20.8,80,12,9.84,PF,1595703320
1,Port Augusta,-32.5,137.77,9.0,93,90,1.5,AU,1595703423
2,São Miguel do Araguaia,-13.28,-50.16,33.23,25,0,1.87,BR,1595703426
3,Alofi,-19.06,-169.92,22.0,83,18,4.1,NU,1595703429
4,Lebu,-37.62,-73.65,11.09,83,100,9.58,CL,1595703323
5,‘Āhuimanu,21.44,-157.84,28.0,61,40,5.1,US,1595703435
6,Ténenkou,14.46,-4.92,34.12,40,54,1.99,ML,1595703439
7,Mana,5.66,-53.78,27.83,84,44,3.61,GF,1595703442
8,Albany,42.6,-73.97,32.78,34,100,3.3,US,1595703445
9,Codrington,-38.27,141.97,4.65,88,0,2.56,AU,1595703448
10,Butaritari,3.07,172.79,28.45,74,0,6.78,KI,1595703451
11,Cap Malheureux,-19.98,57.61,20.0,63,48,4.47,MU,1595703458
12,Kawambwa,-9.79,29.08,14.63,48,0,2.75,ZM,1595703461
13,Kumul,42.8,93.45,28.97,20,0,3.91,CN,1595703464
14,George Town,5.41,100.34,26.0,94,40,2.1,MY,1595703467
15,Gualaceo,-2.9,-78.78,18.0,59,90,0.5,EC,1595703470
16,Bengkulu,-3.8,102.27,24.01,89,2,2.72,ID,1595703473
17,Sânsimion,46.25,25.88,17.78,83,76,0.45,RO,1595703486
18,San Patricio,19.22,-104.7,31.0,74,40,5.1,MX,1595703340
19,Isangel,-19.55,169.27,21.0,83,15,2.6,VU,1595703492
20,Puerto Ayora,-0.74,-90.35,25.0,65,75,8.7,EC,1595703311
21,Saint Paul Harbor,57.79,-152.41,13.0,87,75,2.1,US,1595703499
22,Ilulissat,69.22,-51.1,9.0,87,90,4.1,GL,1595703310
23,Santo Domingo,18.5,-69.99,34.0,56,40,5.1,DO,1595703419
24,Hermanus,-34.42,19.23,11.67,95,1,5.74,ZA,1595703511
25,Conner,17.8,121.33,23.37,87,100,1.2,PH,1595703514
26,Bredasdorp,-34.53,20.04,14.0,82,0,3.6,ZA,1595703518
27,New Norfolk,-42.78,147.06,4.44,90,6,1.2,AU,1595703326
28,Mar del Plata,-38.0,-57.56,12.22,62,19,7.2,AR,1595703524
29,Kortkeros,61.81,51.58,19.0,82,83,2.0,RU,1595703527
30,White Rock,49.02,-122.8,20.56,88,0,1.34,CA,1595703316
31,Serov,59.6,60.58,13.03,68,60,1.69,RU,1595703533
32,Lethem,3.38,-59.8,30.52,63,20,1.24,GY,1595703539
33,Cape Town,-33.93,18.42,16.11,87,40,2.6,ZA,1595703546
34,Aketi,2.74,23.78,22.53,93,100,0.18,CD,1595703549
35,Swift Current,50.28,-107.8,17.0,59,40,10.3,CA,1595703552
36,Los Llanos de Aridane,28.66,-17.92,23.0,73,20,8.2,ES,1595703555
37,San Vicente de Cañete,-13.08,-76.38,19.43,66,21,3.47,PE,1595703559
38,Hithadhoo,-0.6,73.08,27.88,74,100,5.86,MV,1595703562
39,Katsuura,35.13,140.3,25.0,94,100,5.3,JP,1595703565
40,Faya,18.39,42.45,27.0,83,17,2.6,SA,1595703568
41,Shitanjing,39.23,106.34,23.71,31,17,5.27,CN,1595703571
42,Cabo San Lucas,22.89,-109.91,30.56,58,5,3.1,MX,1595703575
43,Tahe,52.33,124.73,19.28,96,100,1.04,CN,1595703581
44,Moore,35.34,-97.49,32.22,66,75,4.6,US,1595703584
45,Ushuaia,-54.8,-68.3,-1.0,92,75,10.8,AR,1595703590
46,Imbituba,-28.24,-48.67,16.0,72,75,6.2,BR,1595703497
47,Kenai,60.55,-151.26,14.0,82,90,1.5,US,1595703597
48,Kamaishi,39.27,141.88,20.27,89,100,1.08,JP,1595703600
49,Carnarvon,-24.87,113.63,13.0,93,0,2.6,AU,1595703603
50,Andra,62.51,65.89,12.12,75,2,1.23,RU,1595703606
51,Kavaratti,10.57,72.64,27.6,78,100,3.96,IN,1595703609
52,Barajevo,44.58,20.42,19.0,93,100,3.6,RS,1595703613
53,Ulaanbaatar,47.91,106.88,16.0,87,90,2.0,MN,1595703410
54,Mogadishu,2.04,45.34,25.19,81,75,8.23,SO,1595703610
55,Atuona,-9.8,-139.03,26.41,74,0,8.61,PF,1595703622
56,San Juan,-31.54,-68.54,17.09,23,0,4.86,AR,1595703455
57,Severo-Kuril'sk,50.68,156.12,9.7,83,100,4.82,RU,1595703629
58,East London,-33.02,27.91,21.95,27,0,3.88,ZA,1595703632
59,Tasiilaq,65.61,-37.64,7.0,75,40,4.6,GL,1595703635
60,Bluefield,37.27,-81.22,29.44,57,20,1.87,US,1595703638
61,Wagar,16.15,36.2,30.5,50,0,8.58,SD,1595703642
62,Arraial do Cabo,-22.97,-42.03,28.0,54,0,6.2,BR,1595703483
63,Rundu,-17.93,19.77,19.0,34,0,1.5,NA,1595703648
64,Bluff,-46.6,168.33,10.16,82,100,8.24,NZ,1595703651
65,Lae,-6.72,146.98,23.58,90,100,0.26,PG,1595703654
66,Itarema,-2.92,-39.92,28.61,61,100,6.44,BR,1595703658
67,Half Moon Bay,37.46,-122.43,23.33,64,5,2.6,US,1595703664
68,Punta Arenas,-53.15,-70.92,1.0,55,74,4.6,CL,1595703540
69,Oktyabr'skoye,43.06,44.74,25.0,61,0,5.0,RU,1595703670
70,Upernavik,72.79,-56.15,6.96,93,100,8.41,GL,1595703674
71,Mataura,-46.19,168.86,5.99,90,100,1.95,NZ,1595703677
72,Ponta do Sol,32.67,-17.1,22.22,66,0,1.97,PT,1595703683
73,Klaksvík,62.23,-6.59,11.0,93,100,11.8,FO,1595703686
74,Ucluelet,48.93,-125.55,13.0,93,40,3.6,CA,1595703466
75,Cherskiy,68.75,161.3,22.76,50,0,1.55,RU,1595703696
76,Tuktoyaktuk,69.45,-133.04,10.0,87,90,5.7,CA,1595703699
77,Makokou,0.57,12.86,21.7,91,100,1.32,GA,1595703702
78,Anadyr,64.75,177.48,13.0,82,20,1.0,RU,1595703705
79,Torbay,47.67,-52.73,20.0,82,40,5.1,CA,1595703708
80,Qaanaaq,77.48,-69.36,7.51,56,0,1.01,GL,1595703711
81,Laguna,38.42,-121.42,27.78,41,5,1.5,US,1595703715
82,Port Lincoln,-34.73,135.87,11.22,82,45,1.75,AU,1595703718
83,Ulladulla,-35.35,150.47,12.22,100,90,2.6,AU,1595703721
84,Kaitangata,-46.28,169.85,6.67,70,81,1.34,NZ,1595703730
85,Vaini,-21.2,-175.2,22.0,78,75,3.1,TO,1595703737
86,Lüderitz,-26.65,15.16,23.0,27,0,2.1,NA,1595703740
87,Umluj,25.02,37.27,34.04,38,21,4.09,SA,1595703743
88,Majene,-3.54,118.97,24.93,85,73,7.48,ID,1595703746
89,Bethel,41.37,-73.41,32.22,54,20,3.6,US,1595703750
90,Dikson,73.51,80.55,4.62,89,0,6.68,RU,1595703753
91,Nuuk,64.18,-51.72,10.0,87,75,5.7,GL,1595703759
92,Constitución,-35.33,-72.42,11.72,63,72,3.12,CL,1595703762
93,Ribeira Grande,38.52,-28.7,23.0,88,75,4.6,PT,1595703765
94,Broome,42.25,-75.83,28.33,51,20,1.5,US,1595703768
95,Salalah,17.02,54.09,27.0,88,75,3.6,OM,1595703646
96,Moyeuvre-Grande,49.25,6.05,24.44,54,100,2.73,FR,1595703775
97,Port Alfred,-33.59,26.89,20.94,31,0,4.9,ZA,1595703778
98,Hobart,-42.88,147.33,5.56,86,1,1.5,AU,1595703754
99,Provideniya,64.38,-173.3,11.56,63,41,3.38,RU,1595703784
100,Leningradskiy,69.38,178.42,8.02,78,83,4.99,RU,1595703787
101,Saint-Pierre,-21.34,55.48,19.0,55,90,7.2,RE,1595703791
102,Kupang,-10.17,123.58,22.0,81,0,3.91,ID,1595703794
103,Camabatela,-8.19,15.38,18.6,37,32,1.49,AO,1595703797
104,Dunedin,-45.87,170.5,8.89,58,21,3.66,NZ,1595703613
105,Talaya,61.38,152.75,15.9,68,0,1.76,RU,1595703803
106,Strezhevoy,60.73,77.59,9.0,87,84,1.0,RU,1595703806
107,Dalaba,10.7,-12.25,18.39,100,100,2.14,GN,1595703809
108,Yellowknife,62.46,-114.35,19.0,55,20,5.1,CA,1595703638
109,Jamestown,42.1,-79.24,27.22,69,75,3.1,US,1595703769
110,Acapulco de Juárez,16.86,-99.89,32.0,55,20,1.0,MX,1595703720
111,Chul'man,56.85,124.91,12.13,93,3,0.8,RU,1595703828
112,Hilo,19.73,-155.09,28.0,69,75,3.1,US,1595703831
113,Hokitika,-42.72,170.97,8.21,81,94,1.22,NZ,1595703835
114,Avarua,-21.21,-159.78,22.0,73,98,3.1,CK,1595703838
115,Katete,-0.78,29.75,19.62,79,100,0.39,UG,1595703841
116,Bambous Virieux,-20.34,57.76,20.0,56,75,7.2,MU,1595703844
117,Batemans Bay,-35.72,150.18,12.22,98,100,0.45,AU,1595703847
118,Tecolutla,20.48,-97.02,36.0,47,75,4.92,MX,1595703851
119,Busselton,-33.65,115.33,11.67,82,31,3.34,AU,1595703854
120,Port Elizabeth,-33.92,25.57,17.0,39,0,3.1,ZA,1595703857
121,Cidreira,-30.18,-50.21,13.51,60,56,6.12,BR,1595703860
122,Elko,41.0,-115.5,30.0,18,1,2.6,US,1595703863
123,Flinders,-34.58,150.86,13.33,93,100,0.45,AU,1595703866
124,Norman Wells,65.28,-126.83,20.0,45,75,1.0,CA,1595703873
125,Cullman,34.17,-86.84,31.11,58,1,2.6,US,1595703876
126,Kapaa,22.08,-159.32,26.0,88,90,8.2,US,1595703885
127,Hobyo,5.35,48.53,25.2,77,0,10.56,SO,1595703892
128,Verkhnyaya Inta,65.98,60.31,14.67,78,0,3.08,RU,1595703895
129,Castro,-24.79,-50.01,20.43,59,100,2.84,BR,1595703898
130,Coyhaique,-45.58,-72.07,7.0,93,90,3.36,CL,1595703904
131,Huarmey,-10.07,-78.15,19.69,67,16,4.67,PE,1595703752
132,Bilibino,68.05,166.44,22.28,55,4,1.68,RU,1595703911
133,Jilib,0.49,42.79,23.95,75,2,4.0,SO,1595703914
134,Thompson,55.74,-97.86,26.0,57,40,4.1,CA,1595703839
135,Puerto Baquerizo Moreno,-0.9,-89.6,22.0,78,75,7.2,EC,1595703920
136,Mount Gambier,-37.83,140.77,3.0,100,90,3.6,AU,1595703924
137,Jennings,38.72,-90.26,33.89,55,75,2.6,US,1595703927
138,Jalu,29.03,21.55,29.91,38,0,8.13,LY,1595703930
139,Solnechnyy,50.72,136.63,14.73,68,100,1.27,RU,1595703936
140,Zambezi,-13.54,23.1,16.23,38,0,2.34,ZM,1595703940
141,Khatanga,71.97,102.5,4.87,88,100,4.97,RU,1595703943
142,Salinópolis,-0.61,-47.36,28.09,78,9,4.16,BR,1595703949
143,Kaya,13.09,-1.08,30.55,56,9,4.09,BF,1595703955
144,Mountain Home,43.13,-115.69,27.0,21,20,6.2,US,1595703860
145,Touros,-5.2,-35.46,28.0,65,40,5.1,BR,1595703746
146,Evans,33.53,-82.13,33.33,65,1,1.5,US,1595703965
147,Coquimbo,-29.95,-71.34,17.0,36,98,4.6,CL,1595703968
148,Lavrentiya,65.58,-171.0,7.79,76,82,2.38,RU,1595703971
149,Prainha,-1.8,-53.48,32.02,49,40,2.01,BR,1595703974
150,Beloha,-25.17,45.05,15.52,71,0,5.66,MG,1595703978
151,Clyde River,70.47,-68.59,16.0,51,1,10.8,CA,1595703981
152,Adrar,20.5,-10.07,41.39,7,0,2.89,MR,1595703984
153,Pavlodar,52.3,76.95,18.0,93,90,6.0,KZ,1595703987
154,Vágur,61.47,-6.81,11.7,94,100,11.3,FO,1595703990
155,Hasaki,35.73,140.83,24.0,100,75,1.0,JP,1595703706
156,Kisangani,0.52,25.2,24.0,83,90,3.1,CD,1595703996
157,Asmara,15.33,38.93,17.05,88,100,2.43,ER,1595703727
158,Kruisfontein,-34.0,24.73,17.99,30,0,4.21,ZA,1595704006
159,Bafoulabé,13.81,-10.83,26.78,76,52,2.68,ML,1595704009
